Join Date,Name,Completed
"Aug 2, 2019, 2:47:24 AM",August Running Distance Challenge,false
"Aug 2, 2019, 2:48:39 AM",August Run Climbing Challenge,false
"Aug 7, 2019, 3:44:09 AM",August 10K,true
"Oct 15, 2019, 1:59:03 AM",October Running Distance Challenge,false
"Oct 15, 2019, 1:59:53 AM",October 5K,true
"Apr 14, 2020, 2:27:07 PM",April Running Distance Challenge,false
"Apr 15, 2020, 7:57:26 PM",April 5K,true
"Apr 16, 2020, 12:41:33 AM",April Half Marathon,false
"Apr 16, 2020, 12:41:41 AM",April 10K,false
"Apr 16, 2020, 12:41:43 AM",April Marathon Challenge,false
"Apr 16, 2020, 12:41:54 AM",April Cycling Distance Challenge,false
"Apr 25, 2020, 7:17:09 PM",May Run Climbing Challenge,false
"Apr 25, 2020, 7:17:10 PM",May 10K,true
"Apr 25, 2020, 7:17:11 PM",May 5K,true
"Apr 25, 2020, 7:17:15 PM",Honey Stinger 50 Plus,true
"Apr 27, 2020, 8:10:24 PM",May Running Distance Challenge,false
"Apr 27, 2020, 8:10:36 PM",#WeAreAmplified by Amp Human,true
"May 8, 2020, 10:15:35 PM",Allbirds Dasher 5k,true
"May 14, 2020, 9:57:27 PM",Alaska Airlines Miles on the Ground,true
"May 18, 2020, 1:44:49 PM",Nuun Podium Series Challenge,true
"May 18, 2020, 1:44:50 PM",ROKA Breakthrough 30,true
"May 18, 2020, 8:11:09 PM",Le Col Fit for 300 Challenge,true
"May 18, 2020, 8:25:38 PM",May Half Marathon,false
"May 21, 2020, 8:39:11 PM",Together #forStJude 5K,true
"May 25, 2020, 3:49:57 PM",1 Hour Acceptance Challenge by GiGi's Playhouse,false
"May 25, 2020, 9:09:22 PM",June Run Climbing Challenge,false
"May 25, 2020, 9:09:23 PM",June Running Distance Challenge,false
"May 26, 2020, 5:14:34 PM",lululemon Global Running Day 5K,true
"May 29, 2020, 6:20:19 PM",Nuzest Thrive vs Survive Challenge,true
"May 29, 2020, 9:24:22 PM",A challenge by Kate Courtney,false
"May 29, 2020, 9:24:24 PM",June Cycling Distance Challenge,false
"May 29, 2020, 9:24:25 PM",June Cycling Climbing Challenge,false
"May 29, 2020, 9:24:41 PM",June Cycling Challenge,false
"Jun 1, 2020, 9:26:16 PM",June 5K,true
"Jun 1, 2020, 9:27:48 PM",June Half Marathon,false
"Jun 1, 2020, 9:28:05 PM",June 10K,true
"Jun 1, 2020, 9:28:22 PM",MA RA TH ON,true
"Jun 7, 2020, 8:47:54 PM",ODLO ULTRA FUN,true
"Jun 9, 2020, 4:03:02 AM",CLIF® Builders® Challenge,false
"Jun 9, 2020, 4:03:10 AM",Picky Bars Summer Solstice Century,true
"Jun 11, 2020, 3:15:50 PM",ROKA Forward Together 200,true
"Jun 12, 2020, 4:31:17 PM",Mammut Local Adventure Challenge,true
"Jun 14, 2020, 7:06:28 PM",Red Bull Race The Moon,true
"Jun 16, 2020, 12:55:19 AM",HOKA Ekiden Strava Challenge,true
"Jun 22, 2020, 7:27:29 PM",Le Col Faster Further 400 Challenge,true
"Jun 23, 2020, 2:28:46 PM",Summer of Skratch,true
"Jun 23, 2020, 2:28:50 PM","You, But Faster, with Saucony",true
"Jun 25, 2020, 1:23:53 PM",ONE RUN,true
"Jun 26, 2020, 2:06:08 PM",July Running Endurance Challenge,false
"Jun 26, 2020, 2:06:11 PM",July Running Challenge,true
"Jun 26, 2020, 2:06:12 PM",July 5K,true
"Jun 26, 2020, 2:06:12 PM",July 10K,true
"Jun 26, 2020, 2:06:13 PM",July Run Climbing Challenge,true
"Jun 26, 2020, 2:06:19 PM",July Running Distance Challenge,false
"Jun 28, 2020, 11:59:16 PM",FuturumShop 21km Challenge,true
"Jul 1, 2020, 6:22:06 PM",Swisse Me Thirsty Thirties Challenge,true
"Jul 3, 2020, 1:19:57 PM",July Cycling Climbing Challenge,false
"Jul 9, 2020, 12:51:31 PM",Amp Human Love Your Trail Challenge,true
"Jul 20, 2020, 4:36:34 PM",Fabletics Back on Track! 2020 Challenge,true
"Jul 21, 2020, 1:06:12 PM",Sweaty Betty 3 week 30km (20 mile),true
"Jul 26, 2020, 1:27:51 PM",HIGH5 Beat the Wall 32 Challenge,true
"Jul 29, 2020, 8:22:11 PM",August Running Challenge,true
"Jul 29, 2020, 8:22:12 PM",August 5K,true
"Jul 29, 2020, 8:22:13 PM",August 10K,true
"Jul 29, 2020, 8:22:15 PM",August Running Endurance Challenge,false
"Jul 29, 2020, 8:22:16 PM",August Half Marathon,false
"Jul 29, 2020, 8:22:17 PM",August Running Distance Challenge,true
"Jul 29, 2020, 8:22:19 PM",August Run Climbing Challenge,true
"Jul 29, 2020, 8:23:40 PM",Le Col Flat Out For 5,true
"Aug 2, 2020, 12:42:18 AM",Arc’teryx Familiar Ground,false
"Aug 3, 2020, 11:19:08 AM",Alzheimer's Society - Run for Dementia,true
"Aug 7, 2020, 1:53:25 PM",ROKA Turnaround 200,true
"Aug 7, 2020, 1:53:27 PM",JOE NIMBLE®  „be Nimble“ Outdoor Challenge,true
"Aug 11, 2020, 2:30:51 AM",Picky Bars H(eat) it up Hundred,true
"Aug 11, 2020, 2:30:56 AM",Rhone's Midsummer Challenge,false
"Aug 27, 2020, 2:00:34 AM",September Running Endurance Challenge,false
"Aug 27, 2020, 2:00:36 AM",September Half Marathon,false
"Aug 27, 2020, 2:00:38 AM",September Run Climbing Challenge,false
"Aug 27, 2020, 2:00:39 AM",September 5K,true
"Aug 27, 2020, 2:00:42 AM",September Running Challenge,true
"Aug 27, 2020, 2:00:43 AM",September 10K,true
"Aug 27, 2020, 2:00:44 AM",September Running Distance Challenge,true
"Aug 27, 2020, 2:01:12 AM",The Cookie 100,true
"Aug 31, 2020, 2:53:04 PM",Breitling Endurance Pro Challenge,true
"Aug 31, 2020, 2:53:12 PM",Le Col Tour Challenge,true
"Sep 1, 2020, 1:04:13 PM",The Run Happy Habit by Brooks and Intersport,true
"Sep 1, 2020, 3:54:49 PM",Run Your Local Mountain with On,true
"Sep 6, 2020, 7:01:21 PM",Kickoff to Kinnick Hawkeye’s for the Kids Challenge,true
"Sep 6, 2020, 7:01:24 PM",Dempsey Challenge presented by Amgen Oncology,true
"Sep 6, 2020, 7:01:24 PM",New Balance Virtual 10km,true
"Sep 7, 2020, 3:56:04 PM",Pablove Childhood Cancer Challenge,true
"Sep 7, 2020, 3:56:05 PM",50 on for 50 off: Movin’ with Verb Energy,true
"Sep 7, 2020, 3:56:06 PM",The Vega Power Your Story Challenge,true
"Sep 7, 2020, 3:56:07 PM",Runderwear 20k in 2 weeks,true
"Sep 9, 2020, 3:57:08 PM",CLIF BAR® Epiphany Ride Challenge,false
"Sep 11, 2020, 9:03:00 PM",Nuzest Chase The Sun,true
"Sep 11, 2020, 9:03:01 PM",Fall into Fitness with Nuzest,true
"Sep 15, 2020, 11:24:44 AM",Fleet Feet x On Motivate Your State,false
"Sep 15, 2020, 11:24:47 AM",Skratch: PR with Superfuel,false
"Sep 21, 2020, 12:04:46 AM",Ride to End ALZ Training Challenge,true
"Sep 25, 2020, 9:16:27 PM",October 5K,true
"Sep 25, 2020, 9:16:28 PM",October 10K,true
"Sep 25, 2020, 9:16:29 PM",October Running Challenge,true
"Sep 25, 2020, 9:16:30 PM",October Run Climbing Challenge,true
"Sep 25, 2020, 9:16:31 PM",October Running Endurance Challenge,false
"Sep 25, 2020, 9:16:33 PM",October Running Distance Challenge,true
"Sep 26, 2020, 6:47:51 PM",October Half Marathon,false
"Sep 26, 2020, 8:03:13 PM",Pat's Run 42 in 40 Challenge,true
"Sep 30, 2020, 8:57:05 PM",Bose Frames Tempo Challenge,true
"Sep 30, 2020, 8:57:06 PM",KOHLER Run for Safe Water,true
"Sep 30, 2020, 8:57:22 PM",Le Col Giro Challenge,true
"Oct 4, 2020, 7:21:25 PM",2020 Children's Rights Challenge,false
"Oct 4, 2020, 7:21:26 PM",Allbirds Rise Up for Climate Action,true
"Oct 6, 2020, 1:20:10 PM",The Built Bar 260 Challenge,true
"Oct 7, 2020, 1:35:43 AM",The Sur Six,false
"Oct 7, 2020, 1:35:43 AM",66ºNorth Iceland Challenge,true
"Oct 7, 2020, 1:35:44 AM",The Gatorade Mode 50K Challenge,true
"Oct 14, 2020, 4:59:29 PM",The Nuun 10-10-2020 Challenge,false
"Oct 14, 2020, 4:59:31 PM",Livestrong Virtual Challenge,true
"Oct 14, 2020, 4:59:32 PM",CLIF® Runner’s Treat Challenge,true
"Oct 14, 2020, 4:59:33 PM",REI x On 10K Challenge,true
"Oct 26, 2020, 11:05:03 AM",Smile Train’s Miles for Smiles,false
"Oct 29, 2020, 2:38:04 AM",November Half Marathon,false
"Oct 29, 2020, 2:38:09 AM",November 10K,true
"Oct 29, 2020, 2:38:12 AM",November Running Challenge,true
"Oct 29, 2020, 2:38:26 AM",November Running Endurance Challenge,false
"Oct 29, 2020, 2:38:28 AM",November 5K,true
"Oct 29, 2020, 2:38:29 AM",November Running Distance Challenge,false
"Oct 29, 2020, 2:38:30 AM",November Run Climbing Challenge,false
"Oct 29, 2020, 2:38:31 AM",November Favorite Way 400K,false
"Oct 29, 2020, 2:38:55 AM",Exercise Your Right To Vote with Picky Bars,true
"Oct 29, 2020, 2:38:56 AM",Move in Merino by Woolmark,false
"Oct 29, 2020, 2:38:57 AM",The November Project Summit Streak presented by Brooks,false
"Oct 31, 2020, 11:24:55 PM",November Cycling Challenge,false
"Oct 31, 2020, 11:24:56 PM",October Cycling Challenge,false
"Oct 31, 2020, 11:24:57 PM",Le Col Rise Above Winter Challenge,true
"Nov 18, 2020, 12:33:45 AM",Challenge the weather with 66ºNorth,true
"Nov 25, 2020, 8:02:14 PM",December Running Challenge,true
"Nov 25, 2020, 8:02:21 PM",December 4x4 Challenge,false
"Nov 25, 2020, 8:02:23 PM",December Running Distance Challenge,true
"Nov 25, 2020, 8:02:24 PM",December 10K,true
"Nov 25, 2020, 8:02:25 PM",December 5K,true
"Nov 25, 2020, 8:52:29 PM",December Run Climbing Challenge,false
"Nov 25, 2020, 8:52:33 PM",December Running Endurance Challenge,false
"Nov 26, 2020, 1:40:13 AM",December Half Marathon,false
"Dec 23, 2020, 4:25:31 PM",New Balance Race to the Finish Challenge,true
"Dec 27, 2020, 9:51:42 PM",January Fresh Start Challenge,false
"Dec 27, 2020, 9:51:47 PM",January Running Challenge,false
"Dec 27, 2020, 9:55:35 PM",St. Jude Resolutions Challenge,false
"Dec 27, 2020, 9:55:54 PM",Le Col Tick Off 2020 Challenge,true
"Dec 27, 2020, 9:56:09 PM",January Running Endurance Challenge,false
"Dec 27, 2020, 9:56:13 PM",January Half Marathon,false
"Dec 27, 2020, 9:56:15 PM",January 5K,true
"Dec 27, 2020, 9:56:16 PM",January 10K,false
"Dec 27, 2020, 9:56:19 PM",January Running Distance Challenge,false
"Dec 27, 2020, 9:56:19 PM",January Run Climbing Challenge,false
"Dec 28, 2020, 12:46:10 AM",ROKA Why Not Now? Challenge,true
"Dec 28, 2020, 12:46:24 AM",ROKA Hindsight 20/20 Challenge,true
"Dec 28, 2020, 12:46:28 AM",Start Your Year with ROUVY,true
"Jan 3, 2021, 1:43:48 PM",Alzheimer's Society - Run for Dementia,true
"Jan 9, 2021, 8:19:51 PM","Wiggle X Garmin New Year, New PBs!",false
"Jan 9, 2021, 8:19:52 PM",Runderwear 10k in 10 Days,true
"Jan 9, 2021, 8:19:53 PM",Red Bull January Jump-Start,false
"Jan 9, 2021, 8:19:54 PM",Move with KIND 280,true
"Jan 9, 2021, 8:45:39 PM",Lucozade Sport - Keep On Moving,true
"Jan 11, 2021, 1:00:51 PM",January Cycling Consistency Challenge,false
"Jan 11, 2021, 1:00:56 PM",Le Col Project 21 Challenge,false
"Jan 11, 2021, 1:00:57 PM",Sweaty Betty New Year 90,true
"Feb 24, 2021, 2:32:09 AM",March Running Endurance Challenge,false
"Feb 24, 2021, 2:32:10 AM",March Running Challenge,true
"Mar 7, 2021, 11:46:38 PM","#CRUSHCOVID Challenge, by Elite & Toronto Hustle",false
"Mar 7, 2021, 11:46:43 PM",Crush It 4 Climate,true
"Mar 7, 2021, 11:46:46 PM",March Half Marathon,false
"Mar 7, 2021, 11:46:47 PM",March 5K,true
"Mar 7, 2021, 11:46:50 PM",March 10K,true
"Mar 7, 2021, 11:46:56 PM",March Run Climbing Challenge,false
"Mar 7, 2021, 11:46:59 PM",March Running Distance Challenge,true
"Mar 7, 2021, 11:47:07 PM","The North Face VECTIV™ Power Further, Together Challenge",true
"Mar 30, 2021, 12:26:45 AM",Sur Immunity Stay Active Challenge,false
"Mar 30, 2021, 12:26:46 AM",April 5K,true
"Apr 14, 2021, 11:49:07 AM",April Half Marathon,false
"Apr 14, 2021, 11:49:09 AM",April 10K,true
"Apr 14, 2021, 11:49:11 AM",April Run Climbing Challenge,false
"Apr 14, 2021, 11:49:13 AM",April Running Challenge,true
"Apr 14, 2021, 11:49:14 AM",April Running Distance Challenge,true
"Apr 14, 2021, 11:49:15 AM",1% Better,false
"Apr 14, 2021, 11:49:16 AM",Wings for Life World Run Training Challenge,true
"Apr 14, 2021, 11:49:17 AM",Saucony Grand Prix - Stage One,true
"Apr 14, 2021, 11:49:20 AM",#EndALZ 100-mile Training Challenge,true
"Apr 14, 2021, 11:49:21 AM",Le Col Level Up Challenge,true
"May 1, 2021, 7:41:37 PM",May Running Distance Challenge,true
"May 1, 2021, 7:41:38 PM",May 10K,true
"May 1, 2021, 7:41:40 PM",May 5K,true
"May 1, 2021, 7:41:40 PM",May Run Climbing Challenge,false
"May 1, 2021, 7:41:42 PM",May Half Marathon,false
"May 1, 2021, 7:41:42 PM",May Running Challenge,true
"May 1, 2021, 7:41:44 PM",RUN PUMA Deviate Challenge,false
"May 12, 2021, 9:17:59 PM",May Running Endurance Challenge,false
"May 12, 2021, 9:18:04 PM",ROKA Salute 70,true
"May 12, 2021, 9:18:09 PM",Salomon Running League,true
"May 17, 2021, 11:08:02 AM",Le Col Project Aero Challenge,true
"May 17, 2021, 11:08:07 AM",GIGIFIT Acceptance Challenge by GiGi's Playhouse,true
"May 17, 2021, 11:08:15 AM",American Diabetes Association Step Out,true
"May 26, 2021, 3:24:57 AM",June Run Climbing Challenge,false
"May 26, 2021, 3:24:59 AM",June Running Challenge,true
"May 26, 2021, 3:25:03 AM",June Running Distance Challenge,true
"May 26, 2021, 3:25:04 AM",June Running Endurance Challenge,false
"May 26, 2021, 3:25:06 AM",June Long Run Challenge,false
"May 26, 2021, 3:25:07 AM",June 10K,true
"May 26, 2021, 3:25:08 AM",June 5K,true
"May 27, 2021, 12:18:13 AM",June Half Marathon,false
"May 29, 2021, 12:18:39 AM",lululemon Global Running Day Challenge,false
"Jun 10, 2021, 3:24:35 PM",June Cycling Consistency Challenge,false
"Jun 24, 2021, 2:40:02 PM",July 10k,true
"Jun 24, 2021, 2:40:03 PM",July Running Challenge,true
"Jun 24, 2021, 2:40:03 PM",July 5k,true
